# text	code	frequency
你	ni	90000
你好	ni hao	100000
呢	ne	30000
好	hao	85000
中国	zhong guo	98000
中文	zhong wen	76000
中	zhong	70000
国	guo	65000
输入法	shu ru fa	90000
输入	shu ru	70000
手机	shou ji	70000
苹果	ping guo	65000
今天	jin tian	70000
明天	ming tian	60000
我	wo	95000
我们	wo men	90000
想	xiang	60000
一段	yi duan	40000
话	hua	50000
候选	hou xuan	40000
键盘	jian pan	52000
拼音	pin yin	72000
测试	ce shi	50000
项目	xiang mu	42000
代码	dai ma	52000
功能	gong neng	56000
问题	wen ti	60000
解决	jie jue	52000
编译	bian yi	54000
运行	yun xing	54000
模拟器	mo ni qi	52000
真机	zhen ji	50000
我的	wo de	65000
是	shi	90000
的	de	110000
不	bu	88000
了	le	87000
在	zai	85000
有	you	82000
和	he	76000
就	jiu	73000
都	dou	70000
也	ye	69000
很	hen	67000
到	dao	66000
说	shuo	65000
要	yao	64000
人	ren	62000
可以	ke yi	62000
这个	zhe ge	63000
一个	yi ge	64000
现在	xian zai	65000
工作	gong zuo	57000
开发	kai fa	56000
重新	chong xin	40000
实现	shi xian	45000
核心	he xin	43000
候选词	hou xuan ci	42000
质量	zhi liang	40000
学习	xue xi	48000
用户	yong hu	50000
词库	ci ku	46000
持久化	chi jiu hua	35000
模糊音	mo hu yin	36000
排序	pai xu	36000
我想	wo xiang	62000
我想输入	wo xiang shu ru	56000
一段话	yi duan hua	52000
我想输入一段话	wo xiang shu ru yi duan hua	50000
我是	wo shi	78000
中国人	zhong guo ren	72000
我是中国人	wo shi zhong guo ren	70000
继续	ji xu	52000
增强	zeng qiang	50000
新核心	xin he xin	46000
拼音输入	pin yin shu ru	50000
拼音输入法	pin yin shu ru fa	56000
谢谢	xie xie	98000
好的	hao de	96000
知道	zhi dao	90000
知道了	zhi dao le	88000
没事	mei shi	82000
没问题	mei wen ti	90000
不用	bu yong	76000
不用了	bu yong le	72000
为什么	wei shen me	92000
怎么	zen me	90000
怎么办	zen me ban	85000
什么时候	shen me shi hou	84000
什么	shen me	93000
哪里	na li	78000
哪个	na ge	76000
多少	duo shao	79000
可能	ke neng	82000
应该	ying gai	84000
需要	xu yao	85000
因为	yin wei	83000
所以	suo yi	82000
但是	dan shi	81000
如果	ru guo	80000
然后	ran hou	83000
还是	hai shi	78000
或者	huo zhe	76000
已经	yi jing	82000
没有	mei you	88000
不是	bu shi	86000
就是	jiu shi	84000
都是	dou shi	76000
也是	ye shi	74000
还有	hai you	78000
一起	yi qi	75000
一下	yi xia	82000
一下子	yi xia zi	62000
这里	zhe li	76000
那里	na li	72000
这样	zhe yang	82000
那样	na yang	68000
这些	zhe xie	78000
那些	na xie	70000
这种	zhe zhong	74000
那种	na zhong	68000
自己	zi ji	84000
大家	da jia	82000
别人	bie ren	72000
朋友	peng you	76000
时间	shi jian	82000
明白	ming bai	78000
确定	que ding	80000
确认	que ren	76000
直接	zhi jie	80000
马上	ma shang	76000
